company,location,fire,��ü �η� �� ���� ���� ����,industry,country,ai_bool
Grail,SF Bay Area,350,,Healthcare,United States,TRUE
Sonos,Santa Barbara,100,6%,Consumer,United States,FALSE
Sampler,Toronto Non-U.S.,,100%,Retail,Canada,FALSE
PacketFabric,Los Angeles,,,Infrastructu,,FALSE
Mister Spex,Berlin Non-U.S.,,10%,Retail,Germany,FALSE
Formlabs,Boston,,,Hardware,United States,FALSE
Inuitive,Ra'anana Non-U.S.,16,20%,Manufactur,,FALSE
AppLovin,SF Bay Area,61,,Marketing,United States,FALSE
Paper,Montreal Non-U.S.,81,45%,Education,Canada,FALSE
Retention.com,Austin,15,,Marketing,United States,FALSE
Regrow Ag,Durham,,19%,Food,United States,FALSE
Loop,Columbus,,,Retail,United States,FALSE
Localize,New York City,,,Real Estate,United States,FALSE
GoPro,SF Bay Area,139,15%,Consumer,United States,FALSE
ReshaMandi,Bengaluru Non-U.S.,,100%,Food,India,FALSE
Five9,SF Bay Area,190,7%,Support,United States,FALSE
Skip the Dishes,Winnipeg Non-U.S.,800,,Food,Canada,FALSE
Kaiyo,New York City,,100%,Retail,United States,TRUE
Redfin,Seattle,82,2%,Real Estate,United States,FALSE
Kenko Health,Mumbai Non-U.S.,,100%,Healthcare,India,FALSE
Sandvine,Waterloo Non-U.S.,,,Infrastructu,,FALSE
Received,New York City,,100%,Finance,United States,FALSE
Velo3D,SF Bay Area,42,,Manufactur,,FALSE
Tome Biosciences,Boston,131,100%,Healthcare,United States,FALSE
IBM,Beijing Non-U.S.,1000,,Hardware,China,TRUE
Apple,SF Bay Area,100,,Hardware,United States,TRUE
Brave,SF Bay Area,27,14%,Consumer,United States,FALSE
Character.ai,SF Bay Area,6,5%,AI,United States,TRUE
Dunzo,Bengaluru Non-U.S.,150,75%,Food,India,FALSE
Runtastic,Linz Non-U.S.,170,,Fitness,Austria,FALSE
Spendesk,Paris Non-U.S.,151,,Finance,France,FALSE
IBM,New York City,,,Hardware,United States,TRUE
Aakash,New Delhi Non-U.S.,80,,Education,India,FALSE
ApplyBoard,Waterloo Non-U.S.,,4%,Education,Canada,FALSE
CarTrawler,Dublin Non-U.S.,40,10%,Transportat,,FALSE
Notable Labs,SF Bay Area,,65%,Healthcare,United States,FALSE
Luminar,Orlando,,15%,Transportat,,FALSE
Reverb,Chicago,40,,Retail,United States,FALSE
Healthy.io,Tel Aviv Non-U.S.,40,30%,Healthcare,Israel,FALSE
Olo,New York City,,9%,Food,United States,FALSE
Northvolt,Stockholm Non-U.S.,1600,20%,Energy,Sweden,FALSE
FreightWaves,Chattanooga,16,,Logistics,,FALSE
F5,Seattle,,,Security,United States,TRUE
Moov,Cedar Falls,50,,Finance,United States,FALSE
Drata,San Diego,40,9%,Security,United States,TRUE
Greenikk,Trivandrum Non-U.S.,,100%,Food,India,FALSE
DoubleCloud,Dubai Non-U.S.,,100%,Infrastructu,,FALSE
Shein,Singapore Non-U.S.,17,,Retail,Singapore,FALSE
Marin Software,SF Bay Area,27,26%,Marketing,United States,FALSE
Vendease,Lagos Non-U.S.,68,20%,Food,Nigeria,FALSE
Gigamon,SF Bay Area,69,,Data,United States,TRUE
AppLovin,SF Bay Area,58,,Marketing,United States,FALSE
Fable,New York City,,100%,Product,United States,FALSE
Meta,SF Bay Area,,,Consumer,United States,TRUE
CapWay,Atlanta,,100%,Finance,United States,FALSE
Chief,New York City,,,HR,United States,FALSE
Jellysmack,New York City,22,,Media,France,FALSE
Venminder,Louisville,100,,Security,United States,TRUE
Upwork,SF Bay Area,,21%,Other,United States,FALSE
Catena Media,Sliema Non-U.S.,29,,Marketing,Malta,FALSE
Airthings,Oslo Non-U.S.,,,Hardware,Norway,TRUE
Coursera,SF Bay Area,150,10%,Education,United States,FALSE
Twelve,SF Bay Area,,,Energy,United States,FALSE
Kyte,SF Bay Area,,40%,Transportat,,FALSE
dYdX,SF Bay Area,,35%,Crypto,United States,TRUE
Docker,SF Bay Area,,10%,Infrastructu,,FALSE
F5,Seattle,100,2%,Security,United States,TRUE
ConsenSys,New York City,163,20%,Crypto,United States,TRUE
Dropbox,SF Bay Area,527,20%,Other,United States,FALSE
Miro,SF Bay Area,275,18%,Other,United States,FALSE
Kraken,SF Bay Area,400,15%,Crypto,United States,TRUE
Tidal,New York City,,,Consumer,United States,FALSE
AMD,SF Bay Area,1000,4%,Hardware,United States,FALSE
AppLovin,SF Bay Area,120,,Marketing,United States,FALSE
Kuku FM,Mumbai Non-U.S.,80,,Media,India,FALSE
Better Collective,Copenhagen Non-U.S.,300,,Other,Denmark,FALSE
TrueLayer,London Non-U.S.,71,25%,Finance,United Kingdo??False,FALSE
Own,New York City,,,Data,United States,TRUE
Headspace,Los Angeles,,13%,Healthcare,United States,FALSE
LinkedIn,SF Bay Area,202,1%,Recruiting,United States,FALSE
Hopper,Montreal Non-U.S.,,,Travel,Canada,FALSE
Adjust,Berlin Non-U.S.,304,,Marketing,Germany,FALSE
Ola Electric,Bengaluru Non-U.S.,500,,Transportat,,FALSE
Apple,SF Bay Area,,,Hardware,United States,TRUE
Sprout Social,Chicago,,,Marketing,United States,FALSE
SolarEdge,Tel Aviv Non-U.S.,500,12%,Energy,Israel,FALSE
AlphaSense,New York City,150,8%,Other,United States,FALSE
Klub,Bengaluru Non-U.S.,60,,Finance,India,FALSE
Kobo360,Lagos Non-U.S.,30,,Logistics,Nigeria,FALSE
Thrive,Mumbai Non-U.S.,,100%,Food,India,FALSE
Refinery29,New York City,,,Media,United States,FALSE
RealSelf,Seattle,,,Healthcare,United States,FALSE
BionicHIVE,Sderot Non-U.S.,,100%,Hardware,Israel,FALSE
Lilium,Munich Non-U.S.,1000,100%,Aerospace,Germany,FALSE
Bench,Vancouver Non-U.S.,450,100%,Finance,Canada,FALSE
Epicery,Paris Non-U.S.,,100%,Food,France,FALSE
Brave Care,Portland,,100%,Healthcare,United States,FALSE
GupShup,SF Bay Area,300,,Other,India,FALSE
Boozt,Malmo Non-U.S.,,10%,Retail,Sweden,FALSE
Alza,New York City,,100%,Finance,United States,FALSE
TechCrunch,SF Bay Area,,,Media,United States,FALSE
Microsoft,Seattle,,,Other,United States,TRUE
Advisor Credit Exchange,Philadelphia,,100%,Finance,United States,FALSE
AppLovin,SF Bay Area,89,,Marketing,United States,FALSE
HeyJobs,Berlin Non-U.S.,90,,Recruiting,Germany,FALSE
ShareChat,Bengaluru Non-U.S.,27,5%,Marketing,India,FALSE
Textio,Seattle,15,,Recruiting,United States,FALSE
Chrono24,Karlsruhe Non-U.S.,110,24%,Retail,Germany,FALSE
Aurora Solar,SF Bay Area,58,,Energy,United States,FALSE
Pocket FM,Bengaluru Non-U.S.,75,,Media,India,FALSE
Unbabel,Lisbon Non-U.S.,66,25%,Support,Portugal,FALSE
Turso,London Non-U.S.,,,Product,Canada,FALSE
Stripe,SF Bay Area,300,3%,Finance,United States,FALSE
Moon Active,Tel Aviv Non-U.S.,,,Consumer,Israel,FALSE
Aurora Labs,Tel Aviv Non-U.S.,45,60%,Transportat,,FALSE
Digital River,Minneapolis,122,,Retail,,FALSE
Amazon,Seattle,,,Retail,United States,TRUE
Placer.ai,SF Bay Area,150,18%,Data,United States,TRUE
Cushion,SF Bay Area,,100%,Finance,United States,FALSE
Sophos,Oxford Non-U.S.,,6%,Security,United Kingdo??True,TRUE
Metro Africa Xpress,Lagos Non-U.S.,150,,Logistics,Nigeria,FALSE
Blue Origin,Seattle,1000,10%,Aerospace,United States,FALSE
Eviation Aircraft,Tel Aviv Non-U.S.,,,Aerospace,Israel,TRUE
Logically,Manchester Non-U.S.,40,20%,AI,United Kingdo??True,TRUE
Vendease,Lagos Non-U.S.,120,44%,Food,Nigeria,FALSE
Riskified,New York City,,,Retail,United States,FALSE
SeatGeek,New York City,150,15%,Consumer,United States,FALSE
Electriq Global,Tel Aviv Non-U.S.,,100%,Energy,Israel,FALSE
Zendesk,SF Bay Area,51,,Support,United States,FALSE
NetEase,Tokyo Non-U.S.,,,Consumer,Japan,FALSE
Ibotta,Denver,70,8%,Retail,United States,FALSE
HerMD,Cincinnati,,100%,Healthcare,United States,FALSE
Skybox Security,SF Bay Area,300,100%,Security,,TRUE
Expedia,Seattle,,,Travel,United States,FALSE
Dayforce,Toronto Non-U.S.,,5%,HR,Canada,FALSE
eBay,Tel Aviv Non-U.S.,20,,Retail,Israel,FALSE
Flywire,Boston,125,,Finance,United States,FALSE
Commercetools,Munich Non-U.S.,,10%,Retail,Germany,FALSE
Google,SF Bay Area,,,Consumer,United States,TRUE
Digimarc,Portland,90,40%,Other,United States,FALSE
Autodesk,SF Bay Area,1350,9%,Other,United States,FALSE
Grubhub,SF Bay Area,500,23%,Food,United States,FALSE
HP,SF Bay Area,4000,10%,Hardware,United States,FALSE
ActiveFence,New York City,22,7%,Security,United States,TRUE
Otorio,Tel Aviv Non-U.S.,45,56%,Security,Israel,TRUE
HelloFresh,SF Bay Area,273,,Food,United States,FALSE
Acxiom,Little Rock,130,3%,Marketing,United States,FALSE
Brightcove,Boston,198,33%,Marketing,United States,FALSE
Prefect,Washington D.C.,20,,Data,United States,TRUE
Niantic,SF Bay Area,68,,Other,United States,FALSE
Block,SF Bay Area,931,8%,Finance,United States,FALSE
Palantir,Denver,120,,Data,United States,TRUE
2U,Washington D.C.,,,Education,United States,FALSE
Northvolt,Stockholm Non-U.S.,2800,62%,Energy,Sweden,FALSE
Sonder,SF Bay Area,,,Travel,United States,FALSE
GupShup,SF Bay Area,200,,Other,India,FALSE
Smashing,SF Bay Area,7,100%,Consumer,United States,FALSE
AppLovin,SF Bay Area,97,,Marketing,United States,FALSE
Turo,SF Bay Area,150,17%,Transportat,,FALSE
Zopper,Noida Non-U.S.,100,,Finance,India,FALSE
Intel,Sacramento,22000,20%,Hardware,United States,TRUE
Meta,SF Bay Area,100,,Consumer,United States,TRUE
SambaNova,SF Bay Area,77,15%,AI,United States,TRUE
Cars24,Gurugram Non-U.S.,200,,Transportat,,FALSE
Tomorrow,Seattle,,100%,Hardware,United States,FALSE
Spotter,Los Angeles,,,Other,United States,FALSE
Expedia,Seattle,,3%,Travel,United States,FALSE
Stem,SF Bay Area,,27%,Energy,United States,FALSE
Electronic Arts,SF Bay Area,300,,Consumer,United States,FALSE
NetApp,SF Bay Area,700,6%,Data,United States,TRUE
Microsoft,Seattle,6000,3%,Other,United States,TRUE
Amazon,Seattle,100,,Retail,United States,TRUE
Noogata,Tel Aviv Non-U.S.,10,100%,AI,Israel,TRUE
GroundGame Health,Tampa Bay,97,,Healthcare,United States,FALSE
VerSe Innovation copy,Bengaluru Non-U.S.,350,,Media,India,FALSE
Blink Charging,Baltimore,,20%,Other,United States,FALSE
Luminar,Orlando,,,Transportat,,FALSE
Builder.ai,London Non-U.S.,,100%,AI,United Kingdo??True,FALSE
Climeworks,Zurich Non-U.S.,106,22%,Energy,,FALSE
LeddarTech,Quebec Non-U.S.,138,95%,Transportat,,FALSE
Otipy,New Delhi Non-U.S.,300,100%,Food,India,FALSE
Cars24,Gurugram Non-U.S.,120,,Transportat,,FALSE
nCino,Wilmington,,7%,Finance,United States,FALSE
eBay,Tel Aviv Non-U.S.,200,,Retail,Israel,FALSE
Business Insider,New York City,,20%,Media,United States,FALSE
Hims & Hers,SF Bay Area,68,4%,Healthcare,United States,FALSE
Intel,Tel Aviv Non-U.S.,,,Hardware,Israel,TRUE
Sabi,Lagos Non-U.S.,50,20%,Retail,Nigeria,FALSE
Khoros,Austin,116,,Sales,,FALSE
Pluralsight,Salt Lake City,,17%,Education,United States,FALSE
Microsoft,Seattle,,,Other,United States,TRUE
Intel,Sacramento,,,Hardware,United States,TRUE
Google,SF Bay Area,75,,Consumer,United States,TRUE
Klue,Vancouver Non-U.S.,85,40%,Sales,Canada,FALSE
Bumble,Austin,240,30%,Consumer,United States,FALSE
Rivian,Los Angeles,140,1%,Transportat,,FALSE
TomTom,Amsterdam Non-U.S.,300,10%,Other,Netherlands,FALSE
King.com,Stockholm Non-U.S.,200,,Consumer,Sweden,FALSE
Jamf,Minneapolis,166,6%,Other,United States,FALSE
Lenovo,Raleigh,100,3%,Hardware,United States,FALSE
Scale AI,SF Bay Area,200,14%,Data,United States,TRUE
TytoCare,New York City,35,22%,Healthcare,United States,FALSE
Amazon,Seattle,,,Retail,United States,TRUE
CodeParrot,Bengaluru Non-U.S.,,100%,Product,India,FALSE
Amicole,New York City,,100%,Retail,United States,FALSE
Rocket Companies,Detroit,,2%,Real Estate,United States,FALSE
Zeen,SF Bay Area,,100%,Consumer,United States,FALSE
ConsenSys,New York City,47,7%,Crypto,United States,TRUE
WiseTech,Sydney Non-U.S.,,,Logistics,Australia,FALSE
PlaxidityX,Tel Aviv Non-U.S.,65,36%,Security,Israel,TRUE
Tipalti,SF Bay Area,,,Finance,United States,FALSE
Ohm Mobility,Bengaluru,,100%,Transportat,,FALSE
Krutrim,Bengaluru Non-U.S.,100,,AI,India,TRUE
Astra,Bengaluru Non-U.S.,106,100%,Sales,India,FALSE
Eyeo,Cologne Non-U.S.,,40%,,Germany,FALSE
Atlassian,Sydney Non-U.S.,150,,Other,Australia,FALSE
F5,Seattle,106,2%,Security,United States,TRUE
Oracle,SF Bay Area,188,,Other,United States,FALSE
Restaurant365,Los Angeles,100,9%,Food,United States,FALSE
Kyte,SF Bay Area,,100%,Transportat,,FALSE
Oracle,SF Bay Area,101,,Other,United States,FALSE
Cisco,SF Bay Area,221,,Infrastructu,,FALSE
TikTok,London Non-U.S.,,,Consumer,United Kingdo??False,FALSE
BeepKart,Bengaluru Non-U.S.,150,100%,Retail,India,FALSE
Klaviyo,Boston,,,Marketing,United States,FALSE
Verily,SF Bay Area,,,Healthcare,United States,FALSE
Rec Room,Seattle,141,,Consumer,United States,FALSE
Flip,SF Bay Area,,100%,Consumer,United States,FALSE
Salesforce,SF Bay Area,4000,,Sales,United States,FALSE
Hike,New Delhi Non-U.S.,,100%,Consumer,India,FALSE
Sorbet,Tel Aviv Non-U.S.,,,Finance,Israel,FALSE
Fiverr,Tel Aviv Non-U.S.,250,30%,Other,Israel,FALSE
ZipRecruiter,Tel Aviv Non-U.S.,80,,Recruiting,United States,FALSE
GamesKraft,Bengaluru Non-U.S.,120,,Consumer,India,FALSE
Just Eat,Amsterdam Non-U.S.,450,5%,Food,Netherlands,FALSE
Handshake,SF Bay Area,100,15%,Recruiting,United States,FALSE
Bill.com,SF Bay Area,,6%,Finance,United States,FALSE
OfferUp,Seattle,,,Retail,United States,FALSE
Broadcom,SF Bay Area,247,,Hardware,United States,FALSE
Tia,New York City,,23%,Healthcare,United States,FALSE
Zepto,Mumbai Non-U.S.,300,5%,Retail,India,FALSE
Ludeo,Los Angeles,25,50%,Consumer,United States,FALSE
Meta,SF Bay Area,600,,Consumer,United States,TRUE
Altruist,SF Bay Area,50,15%,Finance,United States,FALSE
Kaseya,Miami,200,,Security,,TRUE
Rivian,Los Angeles,600,4%,Transportat,,FALSE
Applied Material,SF Bay Area,1400,4%,Manufactur,,FALSE
Robin AI,London Non-U.S.,,33%,Legal,United Kingdo??True,TRUE
Medtronic,Jerusalem Non-U.S.,60,,Healthcare,United States,FALSE
Lightricks,Jerusalem Non-U.S.,85,15%,Consumer,Israel,FALSE
Chegg,SF Bay Area,388,45%,Education,United States,FALSE
Amazon,Seattle,14000,1%,Retail,United States,TRUE
Hootsuite,Vancouver Non-U.S.,,20%,Marketing,Canada,FALSE
Personio,Munich Non-U.S.,165,10%,HR,Germany,FALSE
BharatAgri,Mumbai Non-U.S.,37,100%,Food,India,FALSE
AI Fleet,Austin,,,Transportat,,TRUE
Pipe,SF Bay Area,200,50%,Finance,United States,FALSE
Flipkart,Bengaluru Non-U.S.,40,,Retail,India,FALSE
Playtika,Tel Aviv Non-U.S.,700,20%,Consumer,Israel,FALSE
Culture Amp,Melbourne Non-U.S.,60,6%,HR,Australia,FALSE
UKG,Montevideo Non-U.S.,300,,HR,Uruguay,FALSE
Veson Nautical,Boston,,20%,Other,,FALSE
Pleo,Copenhagen Non-U.S.,100,12%,Finance,Denmark,FALSE
Monarch Tractor,SF Bay Area,102,,Other,United States,FALSE
ezCater,Boston,40,4%,Food,United States,FALSE
HP,SF Bay Area,4000,,Hardware,United States,FALSE
Shopify,Ottawa Non-U.S.,,,Retail,Canada,FALSE
Junglee Games,New Delhi Non-U.S.,350,,Consumer,India,FALSE
Amazon,Seattle,84,,Retail,United States,TRUE
The Trade Desk,Los Angeles,,,Marketing,United States,FALSE
Yellow.ai,SF Bay Area,100,30%,Support,United States,TRUE
Sapiens,Tel Aviv Non-U.S.,700,15%,Finance,Israel,FALSE
StoreDot,Tel Aviv Non-U.S.,,,Other,Israel,FALSE
eToro,Tel Aviv Non-U.S.,105,7%,Finance,Israel,FALSE
Meta,SF Bay Area,1500,2%,Consumer,United States,TRUE
Playtika,Tel Aviv Non-U.S.,500,15%,Consumer,Israel,FALSE
Aleph Alpha,Frankfurt Non-U.S.,50,16%,AI,Germany,TRUE
Tipalti,SF Bay Area,100,,Finance,United States,FALSE
Ericsson,Stockholm Non-U.S.,1600,,Other,Sweden,FALSE
Polygon,Cayman Islands Non-U.S.,60,,Crypto,Cayman Islands,TRUE
Vimeo,Tel Aviv Non-U.S.,,,Consumer,United States,FALSE
Vimeo,New York City,,,Consumer,United States,FALSE
Shopify,Ottawa Non-U.S.,,,Retail,Canada,FALSE
Autodesk,SF Bay Area,1000,7%,Other,United States,FALSE
Entropy,New York City,,100%,Crypto,United States,TRUE
Expedia,Seattle,,,Travel,United States,FALSE
Moon Active,Tel Aviv Non-U.S.,110,5%,Consumer,Israel,FALSE
Pinterest,SF Bay Area,700,15%,Consumer,United States,FALSE
ASML,Veldhoven Non-U.S.,1700,,Hardware,Netherlands,FALSE
Amazon,Seattle,16000,,Retail,United States,TRUE
Gloo,Boulder,,,Consumer,United States,FALSE
Kiwi.com,Brno Non-U.S.,250,36%,Travel,Czech Republic,FALSE
Zupee,New Delhi Non-U.S.,200,,Consumer,India,FALSE
Peloton,New York City,,11%,Fitness,United States,FALSE
Huawei,Tel Aviv Non-U.S.,50,,Hardware,Israel,FALSE
Firebolt,Tel Aviv Non-U.S.,,,Data,Israel,TRUE
Axonius,New York City,40,4%,Security,United States,TRUE
Cyberark,Boston,500,12%,Security,United States,TRUE
Codecademy,New York City,,,Education,United States,FALSE
Lucid Motors,SF Bay Area,,12%,Transportat,,FALSE
Livspace,Bengaluru Non-U.S.,1000,12%,Consumer,India,FALSE
DraftKings,Boston,,,Consumer,United States,FALSE
TrueCar,Los Angeles,100,30%,Transportat,,FALSE
WiseTech,Sydney Non-U.S.,2000,30%,Logistics,Australia,FALSE
C3.ai,SF Bay Area,280,26%,AI,United States,TRUE
Deliveroo,London Non-U.S.,187,,Food,United Kingdo??False,FALSE
Ocado,London Non-U.S.,1000,5%,Food,United Kingdo??False,FALSE
Block,SF Bay Area,4000,40%,Finance,United States,FALSE
eBay,SF Bay Area,800,6%,Retail,Israel,FALSE
Zap Africa,Lagos Non-U.S.,,44%,Finance,Nigeria,FALSE
Digg,New York City,,,Consumer,United States,FALSE
Stone,Sao Paulo Non-U.S.,400,3%,Finance,Brazil,FALSE
FranShares,Chicago,,100%,Finance,United States,FALSE
Snowflake,SF Bay Area,,,Data,United States,TRUE
Crypto.com,Singapore Non-U.S.,,12%,Crypto,Singapore,TRUE
Gemini,New York City,,30%,Crypto,United States,TRUE
Spotify,Stockholm Non-U.S.,15,,Media,Sweden,FALSE
OpenText,Waterloo Non-U.S.,,,Data,Canada,TRUE
Zendesk,SF Bay Area,100,,Support,United States,FALSE
Epic Games,Raleigh,1000,,Consumer,United States,FALSE
Quandoo,Berlin Non-U.S.,,100%,Food,Germany,FALSE
Monte Carlo,SF Bay Area,,30%,Data,United States,TRUE
Enpal,Berlin Non-U.S.,100,,Energy,Germany,FALSE
Oracle,SF Bay Area,30000,,Other,United States,FALSE
Monzo,London Non-U.S.,50,,Finance,United Kingdo??False,FALSE
Covrzy,Bengaluru Non-U.S.,,100%,Finance,India,FALSE
Yupp,SF Bay Area,,100%,AI,United States,TRUE
Rec Room,Seattle,,100%,Consumer,United States,FALSE
StarkWare,Tel Aviv Non-U.S.,,,Crypto,Israel,TRUE
Eventbrite,SF Bay Area,,,Consumer,United States,FALSE
Productboard,SF Bay Area,,30%,Product,United States,FALSE
UKG,Boston,950,,HR,United States,FALSE
Snap,Los Angeles,1000,16%,Consumer,United States,FALSE
Shutterfly,Haifa Non-U.S.,80,,Manufactur,,FALSE
